,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-08 14:00:00+00:00,199.96023559570312,200.13771057128906,196.41844177246094,196.75,0,0,0
2020-03-08 15:00:00+00:00,196.748779296875,196.95217895507812,192.12069702148438,194.0192108154297,627783680,0,0
2020-03-08 16:00:00+00:00,194.04347229003906,194.08065795898438,183.87948608398438,189.11944580078125,63848448,0,0
2020-03-08 17:00:00+00:00,189.34278869628906,192.80393981933594,188.18270874023438,191.74984741210938,105521152,0,0
2020-03-08 18:00:00+00:00,191.2552947998047,191.84283447265625,190.6454315185547,191.49327087402344,0,0,0
2020-03-08 19:00:00+00:00,191.50265502929688,191.5827178955078,189.30641174316406,190.4560546875,84774912,0,0
2020-03-08 20:00:00+00:00,190.41136169433594,190.44207763671875,186.79232788085938,186.79232788085938,0,0,0
2020-03-08 21:00:00+00:00,186.73866271972656,188.0421600341797,185.0399627685547,185.21092224121094,20924416,0,0
2020-03-08 22:00:00+00:00,185.62664794921875,186.64859008789062,181.43882751464844,181.43882751464844,53522432,0,0
2020-03-08 23:00:00+00:00,181.18324279785156,184.34033203125,176.14527893066406,176.2336883544922,303321088,0,0
2020-03-09 00:00:00+00:00,176.9587860107422,181.73390197753906,176.9587860107422,180.18045043945312,596457472,0,0
2020-03-09 01:00:00+00:00,180.167724609375,181.3307647705078,178.65943908691406,180.08302307128906,100560896,0,0
2020-03-09 02:00:00+00:00,179.98651123046875,180.0739288330078,177.94398498535156,177.94398498535156,59058176,0,0
2020-03-09 03:00:00+00:00,177.58645629882812,179.39122009277344,176.1981658935547,177.0773162841797,300548096,0,0
2020-03-09 04:00:00+00:00,177.35519409179688,177.35519409179688,174.5857391357422,176.43406677246094,552341504,0,0
2020-03-09 05:00:00+00:00,176.42926025390625,180.01229858398438,174.10989379882812,179.9562225341797,951173120,0,0
2020-03-09 06:00:00+00:00,179.91201782226562,181.63890075683594,179.60072326660156,180.0740966796875,260978688,0,0
2020-03-09 07:00:00+00:00,180.24072265625,180.87478637695312,179.34030151367188,180.4210205078125,111874048,0,0
2020-03-09 08:00:00+00:00,180.43807983398438,182.0538787841797,180.43807983398438,181.8245086669922,342034432,0,0
2020-03-09 09:00:00+00:00,181.6714630126953,181.82933044433594,179.18446350097656,179.28001403808594,0,0,0
2020-03-09 10:00:00+00:00,179.23684692382812,179.8271942138672,178.69671630859375,179.3707275390625,12943360,0,0
2020-03-09 11:00:00+00:00,179.15487670898438,179.15487670898438,176.0017547607422,176.0017547607422,26249216,0,0
2020-03-09 12:00:00+00:00,175.97959899902344,178.80609130859375,175.97959899902344,178.80609130859375,299694080,0,0
2020-03-09 13:00:00+00:00,178.73696899414062,179.03480529785156,175.9765625,177.3639373779297,0,0,0
2020-03-09 14:00:00+00:00,177.45692443847656,177.7667999267578,173.8050537109375,173.8050537109375,0,0,0
2020-03-09 15:00:00+00:00,173.81785583496094,173.9796600341797,168.29820251464844,169.75286865234375,0,0,0
2020-03-09 16:00:00+00:00,169.85638427734375,174.0833282470703,168.92984008789062,171.83480834960938,0,0,0
2020-03-09 17:00:00+00:00,171.71397399902344,171.71397399902344,169.0903778076172,169.15054321289062,0,0,0
2020-03-09 18:00:00+00:00,169.28173828125,170.39508056640625,169.28173828125,170.05296325683594,0,0,0
2020-03-09 19:00:00+00:00,170.0412139892578,172.8035125732422,170.0412139892578,172.8035125732422,259776512,0,0
2020-03-09 20:00:00+00:00,172.9468231201172,174.29039001464844,172.59188842773438,173.91395568847656,172015616,0,0
2020-03-09 21:00:00+00:00,173.889892578125,174.04273986816406,172.0784454345703,172.10108947753906,0,0,0
2020-03-09 22:00:00+00:00,172.04991149902344,174.60560607910156,171.6927032470703,174.53387451171875,0,0,0
2020-03-09 23:00:00+00:00,174.59585571289062,177.22280883789062,173.8505401611328,177.22280883789062,0,0,0
2020-03-10 00:00:00+00:00,177.83990478515625,179.0940399169922,177.0425262451172,179.0940399169922,0,0,0
2020-03-10 01:00:00+00:00,178.9122772216797,179.6605682373047,176.8195343017578,177.02969360351562,0,0,0
2020-03-10 02:00:00+00:00,176.9543914794922,177.7136993408203,176.9543914794922,177.01803588867188,0,0,0
2020-03-10 03:00:00+00:00,176.90713500976562,178.03463745117188,176.00747680664062,178.03463745117188,0,0,0
2020-03-10 04:00:00+00:00,177.7770233154297,178.96241760253906,177.7770233154297,178.96241760253906,0,0,0
2020-03-10 05:00:00+00:00,179.00656127929688,179.50531005859375,178.40504455566406,179.46005249023438,0,0,0
2020-03-10 06:00:00+00:00,179.51779174804688,179.51779174804688,177.1505889892578,177.46493530273438,0,0,0
2020-03-10 07:00:00+00:00,177.3694305419922,177.3694305419922,174.91015625,175.38531494140625,791468032,0,0
2020-03-10 08:00:00+00:00,175.2539825439453,176.3636474609375,174.82186889648438,175.80657958984375,0,0,0
2020-03-10 09:00:00+00:00,175.80535888671875,176.14292907714844,175.06866455078125,175.2368927001953,0,0,0
2020-03-10 10:00:00+00:00,175.24801635742188,179.46243286132812,175.18539428710938,178.99974060058594,504586240,0,0
2020-03-10 11:00:00+00:00,178.8125,180.47821044921875,178.8125,179.08811950683594,0,0,0
2020-03-10 12:00:00+00:00,178.97998046875,180.8138427734375,178.93014526367188,180.62594604492188,0,0,0
2020-03-10 13:00:00+00:00,180.61752319335938,180.76954650878906,178.59494018554688,179.050537109375,0,0,0
2020-03-10 14:00:00+00:00,178.86146545410156,180.25521850585938,178.86146545410156,179.11268615722656,0,0,0
2020-03-10 15:00:00+00:00,179.1637420654297,179.185791015625,174.76080322265625,174.83477783203125,0,0,0
2020-03-10 16:00:00+00:00,174.97409057617188,176.4375,174.563232421875,176.38592529296875,0,0,0
2020-03-10 17:00:00+00:00,176.3881378173828,177.71437072753906,176.09181213378906,177.71437072753906,611077120,0,0
2020-03-10 18:00:00+00:00,177.4470977783203,177.59234619140625,176.2760009765625,176.69815063476562,0,0,0
2020-03-10 19:00:00+00:00,176.68130493164062,178.90225219726562,176.6419219970703,178.42857360839844,45956096,0,0
2020-03-10 20:00:00+00:00,178.46873474121094,179.61282348632812,177.87158203125,179.2927703857422,32993280,0,0
2020-03-10 21:00:00+00:00,179.37123107910156,179.37123107910156,178.4618682861328,178.4618682861328,0,0,0
2020-03-10 22:00:00+00:00,178.6667938232422,179.3980255126953,178.6667938232422,179.19512939453125,0,0,0
2020-03-10 23:00:00+00:00,179.2816619873047,179.2816619873047,177.37745666503906,177.37745666503906,0,0,0
2020-03-11 00:00:00+00:00,177.47384643554688,178.81173706054688,177.47384643554688,178.80950927734375,0,0,0
2020-03-11 01:00:00+00:00,178.81692504882812,179.24862670898438,178.4568634033203,179.2058563232422,0,0,0
2020-03-11 02:00:00+00:00,179.0085906982422,179.02610778808594,177.90811157226562,177.91473388671875,0,0,0
