Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-08 15:00:00+00:00,38300.984375,38300.984375,38218.38671875,38218.38671875,0,0,0
2022-02-08 15:05:00+00:00,38098.80859375,38098.80859375,38044.4375,38060.5703125,0,0,0
2022-02-08 15:10:00+00:00,38041.921875,38041.921875,37884.77734375,37884.77734375,72816640,0,0
2022-02-08 15:15:00+00:00,37883.00390625,37883.00390625,37786.46484375,37841.11328125,124143616,0,0
2022-02-08 15:20:00+00:00,37849.578125,37923.09765625,37849.578125,37923.09765625,90167296,0,0
2022-02-08 15:25:00+00:00,37909.828125,37942.03515625,37888.625,37942.03515625,42967040,0,0
2022-02-08 15:30:00+00:00,37926.22265625,37926.22265625,37880.671875,37887.20703125,0,0,0
2022-02-08 15:35:00+00:00,37898.8828125,37898.8828125,37832.140625,37832.140625,0,0,0
2022-02-08 15:40:00+00:00,37814.953125,37864.265625,37814.953125,37858.1328125,0,0,0
2022-02-08 15:45:00+00:00,37840.609375,37940.453125,37840.609375,37940.453125,19378176,0,0
2022-02-08 15:50:00+00:00,38002.12890625,38008.87109375,37998.5234375,38005.8125,50704384,0,0
2022-02-08 15:55:00+00:00,38009.6328125,38063.80859375,38009.6328125,38052.02734375,0,0,0
2022-02-08 16:00:00+00:00,38060.43359375,38071.66796875,38055.578125,38071.63671875,0,0,0
2022-02-08 16:05:00+00:00,38098.40625,38098.40625,38008.5859375,38008.5859375,0,0,0
2022-02-08 16:10:00+00:00,38008.1328125,38019.5234375,38007.80859375,38007.80859375,0,0,0
2022-02-08 16:15:00+00:00,38009.07421875,38102.84765625,38009.07421875,38102.84765625,19728384,0,0
2022-02-08 16:20:00+00:00,38151.7890625,38157.05078125,38138.51953125,38138.51953125,3520512,0,0
2022-02-08 16:25:00+00:00,38141.7109375,38174.2265625,38141.7109375,38174.2265625,0,0,0
2022-02-08 16:30:00+00:00,38170.09765625,38188.35546875,38166.97265625,38188.35546875,38225920,0,0
2022-02-08 16:35:00+00:00,38219.85546875,38221.30078125,38179.8359375,38179.8359375,0,0,0
2022-02-08 16:40:00+00:00,38191.62109375,38191.62109375,38160.78125,38160.78125,0,0,0
2022-02-08 16:45:00+00:00,38151.5546875,38151.5546875,38106.53125,38126.53125,0,0,0
2022-02-08 16:50:00+00:00,38142.26171875,38142.26171875,37924.83984375,37924.83984375,22204416,0,0
2022-02-08 16:55:00+00:00,37867.76953125,37867.76953125,37752.34765625,37752.34765625,29509632,0,0
2022-02-08 17:00:00+00:00,37744.90625,37783.30078125,37744.90625,37761.24609375,4829184,0,0
2022-02-08 17:05:00+00:00,37790.48828125,37790.48828125,37660.9609375,37669.1640625,8323072,0,0
2022-02-08 17:10:00+00:00,37656.99609375,37710.375,37641.57421875,37710.375,95012864,0,0
2022-02-08 17:15:00+00:00,37693.328125,37720.859375,37679.70703125,37720.859375,90124288,0,0
2022-02-08 17:20:00+00:00,37721.16015625,37731.28515625,37721.16015625,37729.09375,20570112,0,0
2022-02-08 17:25:00+00:00,37738.7578125,37740.625,37700.1640625,37700.1640625,27736064,0,0
2022-02-08 17:30:00+00:00,37687.515625,37687.515625,37595.546875,37611.6875,26998784,0,0
2022-02-08 17:35:00+00:00,37621.80078125,37621.80078125,37475.77734375,37494.29296875,18098176,0,0
2022-02-08 17:40:00+00:00,37526.1875,37628.640625,37526.1875,37627.78125,140900352,0,0
2022-02-08 17:45:00+00:00,37616.09375,37616.09375,37582.3125,37604.88671875,30201856,0,0
2022-02-08 17:50:00+00:00,37610.25,37625.3515625,37586.8671875,37625.3515625,14604288,0,0
2022-02-08 17:55:00+00:00,37657.0,37664.28515625,37652.28515625,37664.28515625,7456768,0,0
2022-02-08 18:00:00+00:00,37652.53125,37652.53125,37632.4921875,37632.4921875,0,0,0
2022-02-08 18:05:00+00:00,37652.75390625,37681.953125,37652.75390625,37681.953125,0,0,0
2022-02-08 18:10:00+00:00,37682.984375,37721.1484375,37682.984375,37721.1484375,0,0,0
2022-02-08 18:15:00+00:00,37734.73046875,37804.40625,37734.73046875,37797.45703125,4433920,0,0
2022-02-08 18:20:00+00:00,37802.29296875,37834.4609375,37802.29296875,37834.4609375,0,0,0
2022-02-08 18:25:00+00:00,37815.19140625,37815.19140625,37798.83203125,37804.1953125,0,0,0
2022-02-08 18:30:00+00:00,37811.5703125,37850.97265625,37811.5703125,37850.97265625,25360384,0,0
2022-02-08 18:35:00+00:00,37872.1484375,37895.08203125,37872.1484375,37895.08203125,0,0,0
2022-02-08 18:40:00+00:00,37882.5859375,37882.5859375,37806.796875,37806.796875,0,0,0
2022-02-08 18:45:00+00:00,37797.9140625,37797.9140625,37771.51171875,37778.03515625,0,0,0
2022-02-08 18:50:00+00:00,37793.2578125,37793.2578125,37738.11328125,37738.11328125,0,0,0
2022-02-08 18:55:00+00:00,37712.453125,37712.453125,37635.07421875,37636.47265625,0,0,0
2022-02-08 19:00:00+00:00,37640.73828125,37663.4609375,37636.4375,37636.4375,0,0,0
2022-02-08 19:05:00+00:00,37615.62109375,37672.3046875,37615.62109375,37672.3046875,0,0,0
2022-02-08 19:10:00+00:00,37711.90234375,37711.90234375,37685.390625,37685.390625,0,0,0
2022-02-08 19:15:00+00:00,37687.66796875,37691.80859375,37687.66796875,37690.46484375,0,0,0
2022-02-08 19:20:00+00:00,37683.66015625,37734.4921875,37683.66015625,37718.01171875,11149312,0,0
2022-02-08 19:25:00+00:00,37681.24609375,37681.24609375,37527.12109375,37527.12109375,0,0,0
2022-02-08 19:30:00+00:00,37525.796875,37525.796875,37509.9765625,37525.18359375,0,0,0
2022-02-08 19:35:00+00:00,37573.2734375,37649.87109375,37573.2734375,37649.87109375,91136000,0,0
2022-02-08 19:40:00+00:00,37637.6640625,37637.6640625,37580.3359375,37580.3359375,3770368,0,0
2022-02-08 19:45:00+00:00,37579.01171875,37588.6640625,37578.90234375,37586.98046875,0,0,0
2022-02-08 19:50:00+00:00,37562.73828125,37656.0234375,37562.73828125,37656.0234375,24266752,0,0
2022-02-08 19:55:00+00:00,37649.74609375,37701.1015625,37649.74609375,37701.1015625,59838464,0,0
2022-02-08 20:00:00+00:00,37698.51171875,37701.90625,37679.921875,37679.921875,0,0,0
2022-02-08 20:05:00+00:00,37683.9921875,37716.171875,37683.9921875,37716.171875,47241216,0,0
2022-02-08 20:10:00+00:00,37724.609375,37808.11328125,37724.609375,37808.11328125,81821696,0,0
